available;categoryId;cpa;currencyId;delivery;description;discount;id;manufacturer_warranty;market_category;model;modified_time;name;oldprice;param;pickup;picture;price;real_category_name;sales_notes;store;type;typePrefix;url;vendor;vendorCode,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2331-11;true;Женщинам > Одежда > Рубашки;0;0;Дизайнерская рубашка в стиле сафари бренда Екатерины Волковой RESALE;0;0;true;https://kanceptkrama.by/image/catalog/resale/nojabr/volkovarubsafari.jpg;50;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/dizajnerskaya-rubashka-v-stile-safari-brenda-ekateriny-volkovoj-resale-2331-11-11;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2332-12;true;Женщинам > Одежда > Рубашки;0;0;Дизайнерская рубашка в стиле сафари бренда Екатерины Волковой RESALE ;0;0;true;https://kanceptkrama.by/image/catalog/resale/nojabr/volkovarubashkamilitari.jpg;50;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/dizajnerskaya-rubashka-v-stile-safari-brenda-ekateriny-volkovoj-resale-2332-12-12;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2327-08;true;Женщинам > Одежда > Рубашки;0;0;Дизайнерская рубашка от Екатерины Волковой RESALE;0;0;true;https://kanceptkrama.by/image/catalog/resale/nojabr/volkovarubashka.jpg;90;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/dizajnerskaya-rubashka-ot-ekateriny-volkovoj-resale-2327-08-08;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1726-38;true;Женщинам > Одежда > Рубашки;0;0;Оверсайз-рубашка;0;0;true;https://kanceptkrama.by/image/catalog/Cherire/photos/6/IMG_5167.jpg;170;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/oversajz-rubashka;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1739-38;true;Женщинам > Одежда > Рубашки;0;0;Оверсайз-рубашка;0;0;true;https://kanceptkrama.by/image/catalog/Cherire/photos/9/IMG_5149.jpg;210;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/oversajz-rubashka-1739;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2260-01;true;Женщинам > Одежда > Рубашки;0;0;Рубашка - дизайнер Екатерина Волкова RESALE;0;0;true;https://kanceptkrama.by/image/catalog/resale/_94a3259.jpg;70;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/rubashka-dizajner-ekaterina-volkova-resale-2260-01-01;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2172-42;true;Женщинам > Одежда > Рубашки;0;0;Рубашка 10;0;0;true;https://kanceptkrama.by/image/catalog/photos/10MOTIFS/2/54.jpg;165;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-10;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2402-42;true;Женщинам > Одежда > Рубашки;0;0;Рубашка 10 Beige;0;0;true;https://kanceptkrama.by/image/catalog/photos/10MOTIFS/2/5.jpg;180;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-10-beige;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2403-42;true;Женщинам > Одежда > Рубашки;0;0;Рубашка 10 Beige;0;0;true;https://kanceptkrama.by/image/catalog/photos/10MOTIFS/3/9.jpg;180;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-10-beige-2403;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1248-02;true;Женщинам > Одежда > Рубашки;0;0;Рубашка MOON;0;0;true;https://kanceptkrama.by/image/catalog/photos/historianaturalis/legkiekostjumy/e86aba74-3840-4384-9459-9ef063b80ef1.jpeg;270;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/platya/povsednevnye-platya/rubashka-moon-1248-02-02;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2298-04;true;Женщинам > Одежда > Рубашки;0;0;Рубашка oversize ROSE ;0;0;true;https://kanceptkrama.by/image/catalog/photos/10MOTIFS/unnamed(5).jpg;180;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-oversize-rose-2298-04-04;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2244-01;true;Женщинам > Одежда > Рубашки;0;0;Рубашка белая базовая на поясе;0;0;true;https://kanceptkrama.by/image/catalog/photos/miranovich/33.jpg;170;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-belaya-bazovaya-na-poyase-2244-01-01;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2266-07;true;Женщинам > Одежда > Рубашки;0;0;Рубашка белая удлиненная Екатерина Волкова RESALE;0;0;true;https://kanceptkrama.by/image/catalog/resale/_94a3943_1.jpg;60;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/rubashka-belaya-udlinennaya-ekaterina-volkova-resale-2266-07-07;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2241-1907;true;Женщинам > Одежда > Рубашки;0;0;Рубашка вельветовая бежевая ;0;0;true;https://kanceptkrama.by/image/catalog/photos/miranovich/img_2142.jpg;250;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-velvetovaya-bezhevaya-2241-1907-1907;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2239-1907;true;Женщинам > Одежда > Рубашки;0;0;Рубашка вельветовая светло-зеленая;0;0;true;https://kanceptkrama.by/image/catalog/photos/miranovich/img_2131.jpg;250;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-velvetovaya-svetlo-zelenaya-2239-1907-1907;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2243-1907;true;Женщинам > Одежда > Рубашки;0;0;Рубашка вельветовая темно-зеленая;0;0;true;https://kanceptkrama.by/image/catalog/photos/miranovich/unnamed(4).jpg;250;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-velvetovaya-temno-zelenaya-2243-1907-1907;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2377-19;true;Женщинам > Одежда > Рубашки;0;0;Рубашка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/DDDstyle/7/1.jpg;125;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-genskaya-2377;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;845-6052;true;Женщинам > Одежда > Рубашки;0;0;Рубашка женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/limited/1db644c5cbb79746ff241d48b3603c05_720x1280.jpg;250;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-zhenskaya-845-6052-6052;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1514-34;true;Женщинам > Одежда > Рубашки;0;0;Рубашка женская &quot,White Girl&quot,;0;0;true;https://kanceptkrama.by/image/catalog/photos/Nowwon/4/25.jpg;155;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-genskaya-white-girl;kanceptkrama;0,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1554-02;true;Женщинам > Одежда > Рубашки;0;0;Рубашка из льна удлинённая ;0;0;true;https://kanceptkrama.by/image/catalog/photos/historianaturalis/legkiekostjumy/4f18203d-0042-4548-a150-42708ee81d7c.jpeg;220;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-iz-lna-udlinyonnaya-1554-02-02;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2328-09;true;Женщинам > Одежда > Рубашки;0;0;Рубашка из натуральных материалов дизайнера Екатерины Волковой RESALE;0;0;true;https://kanceptkrama.by/image/catalog/resale/nojabr/volkovapoloska1.jpg;60;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/krama-resale/rubashka-iz-naturalnyh-materialov-dizajnera-ekateriny-volkovoj-resale-2328-09-09;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1757-04;true;Женщинам > Одежда > Рубашки;0;0;РУБАШКА КЛАССИЧЕСКАЯ С АВТОРСКИМ ПРИНТОМ;0;0;true;https://kanceptkrama.by/image/catalog/photos/Totallook/7/1.jpg;140;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-klassicheskaya-s-avtorskim-printom;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1547-02;true;Женщинам > Одежда > Рубашки;0;0;Рубашка льняная «Веска»;0;0;true;https://kanceptkrama.by/image/catalog/photos/historianaturalis/legkiekostjumy/40c954ac-c732-428d-bba9-4a97fe6d3720.jpeg;120;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-lnyanaya-veska-1547-02-02;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2067-48;true;Женщинам > Одежда > Рубашки;0;0;Рубашка льняная Милан черно-белый принт;0;0;true;https://kanceptkrama.by/image/catalog/photos/historianaturalis/avgust/img_0385.jpg;220;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-lnyanaya-milan-cherno-belyj-print-2067-48-48;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2064-35;true;Женщинам > Одежда > Рубашки;0;0;Рубашка льняная Милон;0;0;true;https://kanceptkrama.by/image/catalog/photos/historianaturalis/avgust/img_0382.jpg;220;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-lnyanaya-milon-2064-35-35;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1515-34;true;Женщинам > Одежда > Рубашки;0;0;Рубашка мужская &quot,White Boy&quot,;0;0;true;https://kanceptkrama.by/image/catalog/photos/Nowwon/5/30.jpg;155;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/man/rubashki/rubashka-mugskaya-white-boy;kanceptkrama;0,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;854-6053;true;Женщинам > Одежда > Рубашки;0;0;Рубашка с вышивкой НЕМО;0;0;true;https://kanceptkrama.by/image/catalog/photos/limited/ab422bb966c0339184352aafa0106abf_720x1280.jpg;210;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-s-vyshivkoj-nemo-854-6053-6053;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1847-04;true;Женщинам > Одежда > Рубашки;0;0;РУБАШКА С ШИРОКИМИ РУКАВАМИ;0;0;true;https://kanceptkrama.by/image/catalog/photos/Totallook/7/111.jpg;120;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-s-shirokimi-rukavami;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1848-04;true;Женщинам > Одежда > Рубашки;0;0;РУБАШКА С ШИРОКИМИ РУКАВАМИ;0;0;true;https://kanceptkrama.by/image/catalog/photos/Totallook/8/114.jpg;120;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-s-shirokimi-rukavami-1848;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1721-02;true;Женщинам > Одежда > Рубашки;0;0;Рубашка свободного кроя с поясом;0;0;true;https://kanceptkrama.by/image/catalog/photos/miranovich/791a7e8e-d9ca-4cd5-9906-0077b4759b38.jpeg;170;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-svobodnogo-kroya-s-poyasom-1721-02-02;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;846-6051;true;Женщинам > Одежда > Рубашки;0;0;Рубашка трикотажная;0;0;true;https://kanceptkrama.by/image/catalog/photos/limited/0751f10bd733d6cc514cfc062bf3870e_720x1280.jpg;185;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-trikotazhnaya-846-6051-6051;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1415-34;true;Женщинам > Одежда > Рубашки;0;0;Рубашка унисекс &quot,David&quot,;0;0;true;https://kanceptkrama.by/image/catalog/photos/Nowwon/5/36.jpg;160;Рубашка;Оплата после примерки.;true;vendor.model;Рубашка;https://kanceptkrama.by/woman/rubashki-2/rubashka-uniseks-david;kanceptkrama;0,
